学校,所在地,AB区,985,211,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
华北电力大学(保定),河北,A,1,0,1,统考,经济管理系,(025100)(专业学位)金融,全日制,专业：4(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
华北电力大学(保定),河北,A,1,0,1,统考,经济管理系,(025100)(专业学位)金融,全日制,专业：4(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
河北工业大学,河北,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：50(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
内蒙古大学,内蒙古,B,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：40(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
辽宁大学,辽宁,A,1,0,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：35(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
辽宁大学,辽宁,A,1,0,1,统考,国际经济政治学院,(025100)(专业学位)金融,全日制,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
吉林大学,吉林,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
吉林大学,吉林,A,1,1,1,统考,南方研究院,(025100)(专业学位)金融,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
东北师范大学,吉林,A,1,0,1,统考,经济与管理学院,(025100)(专业学位)金融,全日制,专业：80(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
东北农业大学,黑龙江,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,研究方向：30(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
东北林业大学,黑龙江,A,1,0,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：14(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,大数据学院,(025100)(专业学位)金融,全日制,专业：20(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海交通大学,上海,A,1,1,1,统考,安泰经济与管理学院,(025100)(专业学位)金融,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
上海交通大学,上海,A,1,1,1,统考,安泰经济与管理学院,(025100)(专业学位)金融,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
上海交通大学,上海,A,1,1,1,统考,上海高级金融学院,(025100)(专业学位)金融,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(800)仅从推免生选拔
华东理工大学,上海,A,1,0,1,统考,商学院专业学位中心,(025100)(专业学位)金融,全日制,专业：100(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
华东理工大学,上海,A,1,0,1,统考,商学院专业学位中心,(025100)(专业学位)金融,全日制,专业：100(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
华东理工大学,上海,A,1,0,1,统考,商学院专业学位中心,(025100)(专业学位)金融,全日制,专业：100(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
东华大学,上海,A,1,0,1,统考,旭日工商管理学院,(025100)(专业学位)金融,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
华东师范大学,上海,A,1,1,1,统考,经济与管理学部专业学位教育中心,(025100)(专业学位)金融,全日制,专业：45(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
华东师范大学,上海,A,1,1,1,统考,经济与管理学部专业学位教育中心,(025100)(专业学位)金融,全日制,专业：45(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海外国语大学,上海,A,1,0,1,统考,国际金融贸易学院,(025100)(专业学位)金融,全日制,专业：34(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(240)法语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(241)德语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(242)西班牙语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(243)阿拉伯语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(244)意大利语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(245)葡萄牙语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(246)朝鲜语(自命题),(396)经济类综合能力,(431)金融学综合
上海外国语大学,上海,A,1,0,1,统考,国际金融贸易学院,(025100)(专业学位)金融,全日制,专业：34(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(240)法语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(241)德语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(242)西班牙语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(243)阿拉伯语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(244)意大利语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(245)葡萄牙语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(246)朝鲜语(自命题),(396)经济类综合能力,(431)金融学综合
上海外国语大学,上海,A,1,0,1,统考,国际金融贸易学院,(025100)(专业学位)金融,全日制,专业：34(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(240)法语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(241)德语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(242)西班牙语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(243)阿拉伯语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(244)意大利语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(245)葡萄牙语(自命题),(396)经济类综合能力,(431)金融学综合,(101)思想政治理论,(246)朝鲜语(自命题),(396)经济类综合能力,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：53(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,研究方向：34(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,研究方向：8(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,研究方向：9(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,研究方向：17(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,研究方向：22(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,金融学院,(025100)(专业学位)金融,全日制,研究方向：15(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海财经大学,上海,A,1,0,1,统考,首席经济学家中心,(025100)(专业学位)金融,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海大学,上海,A,1,0,1,统考,悉尼工商学院,(025100)(专业学位)金融,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海大学,上海,A,1,0,1,统考,悉尼工商学院,(025100)(专业学位)金融,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
上海大学,上海,A,1,0,1,统考,悉尼工商学院,(025100)(专业学位)金融,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
